书名,相关信息,评分
金色梦乡,[日] 伊坂幸太郎 / 代珂 / 南海出版公司 / 2016-11 / 49.50元,8.9
我不喜欢这世界，我只喜欢你,乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元,8.0
狼图腾,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,8.2
哈利·波特与混血王子,[英] J. K. 罗琳 / 马爱农 / 马爱新 / 人民文学出版社 / 2005-10 / 58.00元,8.8
追忆似水年华,[法] 马塞尔·普鲁斯特 / 李恒基 / 徐继曾 / 桂裕芳 / 袁树仁 / 潘丽珍 / 许渊冲 / 许钧 / 杨松河 / 周克希 / 张小鲁 / 张寅德 / 刘方 / 陆秉慧 / 徐和瑾 / 周国强 / 译林出版社 / 2012-6 / 328.00元,9.2
红与黑,[法] 司汤达 / 张冠尧 / 人民文学出版社 / 2002 / 20.00元,8.2
2001：太空漫游,[英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-5-10 / 62.00元,9.2
鲁滨孙历险记,笛福 / 黄杲炘 / 上海译文出版社 / 2006-8 / 10.00元,8.0
莫泊桑短篇小说选,[法] 莫泊桑 / 赵少侯 / 人民文学出版社 / 2002-6 / 14.00元,8.7
哈利·波特与凤凰社,[英] J. K. 罗琳 / 马爱农 / 马爱新 / 蔡文 / 人民文学出版社 / 2003-9 / 59.00元,8.7
