ip,type_http,port
222.95.144.47,HTTP,3000
117.69.25.185,HTTPS,9999
183.166.118.242,HTTP,9999
220.176.40.76,HTTP,9999
121.237.148.231,HTTPS,3000
117.88.4.130,HTTPS,3000
112.111.217.199,HTTPS,9999
180.122.145.65,HTTPS,9999
182.35.82.212,HTTP,9999
183.164.239.35,HTTP,9999
183.166.6.189,HTTP,9999
223.242.247.116,HTTPS,9999
117.26.40.232,HTTP,9999
117.95.199.211,HTTP,9999
123.149.141.181,HTTP,9999
114.239.199.135,HTTP,9999
61.145.8.137,HTTPS,9999
36.25.43.148,HTTPS,9999
175.42.123.94,HTTP,9999
36.248.133.223,HTTP,9999
121.226.215.220,HTTPS,9999
36.25.40.114,HTTPS,9999
113.195.152.80,HTTP,9999
223.199.20.88,HTTP,9999
113.195.156.242,HTTP,9999
42.238.68.48,HTTP,9999
113.195.225.30,HTTP,9999
121.237.149.209,HTTPS,3000
115.211.226.123,HTTP,9999
117.88.5.161,HTTPS,3000
183.154.54.27,HTTPS,9999
180.119.141.169,HTTPS,9999
117.91.131.228,HTTP,9999
115.211.228.179,HTTP,9999
183.146.157.70,HTTPS,9999
183.154.53.123,HTTP,9999
114.218.89.144,HTTP,9999
115.216.57.130,HTTP,9999
220.176.40.236,HTTPS,9999
183.154.52.23,HTTP,9999
118.212.107.125,HTTP,9999
118.212.105.242,HTTP,9999
183.154.51.132,HTTP,9999
121.237.149.36,HTTPS,3000
182.35.83.251,HTTPS,9999
114.226.35.146,HTTP,9999
113.195.10.13,HTTP,9999
183.147.252.134,HTTPS,9999
220.184.26.171,HTTP,9999
36.248.129.43,HTTPS,9999
122.5.177.131,HTTP,9999
1.198.72.253,HTTP,9999
36.248.132.146,HTTPS,9999
36.248.129.164,HTTPS,9999
175.42.123.124,HTTPS,9999
121.237.149.196,HTTP,3000
117.57.90.150,HTTPS,45465
117.69.201.48,HTTP,9999
60.169.94.161,HTTPS,9999
114.239.146.2,HTTP,808
114.226.163.17,HTTPS,9999
117.94.182.0,HTTPS,9999
183.166.133.211,HTTPS,9999
49.76.198.103,HTTP,9999
117.95.214.194,HTTPS,9999
114.226.245.101,HTTP,9999
